data;hora;altura
01/08/2025;02:25;0.23
01/08/2025;08:19;2.23
01/08/2025;14:23;0.31
01/08/2025;20:47;2.23
02/08/2025;03:12;0.21
02/08/2025;09:04;2.29
02/08/2025;15:06;0.26
02/08/2025;21:30;2.28
03/08/2025;03:57;0.22
03/08/2025;09:47;2.31
03/08/2025;15:49;0.24
03/08/2025;22:12;2.28
04/08/2025;04:40;0.27
04/08/2025;10:29;2.28
04/08/2025;16:32;0.25
04/08/2025;22:54;2.24
05/08/2025;05:23;0.34
05/08/2025;11:12;2.22
05/08/2025;17:15;0.29
05/08/2025;23:36;2.17
06/08/2025;06:05;0.43
06/08/2025;11:55;2.12
06/08/2025;17:59;0.36
07/08/2025;00:19;2.07
07/08/2025;06:50;0.53
07/08/2025;12:43;2.02
07/08/2025;18:48;0.43
08/08/2025;01:06;1.96
08/08/2025;07:41;0.63
08/08/2025;13:38;1.93
08/08/2025;19:46;0.49
09/08/2025;02:02;1.87
09/08/2025;08:41;0.71
09/08/2025;14:44;1.87
09/08/2025;20:53;0.52
10/08/2025;03:08;1.83
10/08/2025;09:47;0.75
10/08/2025;15:55;1.87
10/08/2025;22:01;0.5
11/08/2025;04:16;1.87
11/08/2025;10:48;0.73
11/08/2025;17:00;1.95
11/08/2025;23:02;0.43
12/08/2025;05:17;1.98
12/08/2025;11:43;0.65
12/08/2025;17:58;2.07
12/08/2025;23:57;0.33
13/08/2025;06:11;2.12
13/08/2025;12:32;0.53
13/08/2025;18:49;2.2
14/08/2025;00:48;0.23
14/08/2025;07:01;2.24
14/08/2025;13:18;0.41
14/08/2025;19:36;2.29
15/08/2025;01:34;0.15
15/08/2025;07:46;2.34
15/08/2025;14:02;0.31
15/08/2025;20:19;2.35
16/08/2025;02:18;0.1
16/08/2025;08:29;2.39
16/08/2025;14:44;0.24
16/08/2025;21:00;2.37
17/08/2025;02:59;0.09
17/08/2025;09:09;2.39
17/08/2025;15:23;0.2
17/08/2025;21:40;2.34
18/08/2025;03:39;0.12
18/08/2025;09:48;2.35
18/08/2025;16:02;0.2
18/08/2025;22:18;2.28
19/08/2025;04:17;0.19
19/08/2025;10:26;2.27
19/08/2025;16:39;0.22
19/08/2025;22:56;2.19
20/08/2025;04:54;0.28
20/08/2025;11:03;2.16
20/08/2025;17:16;0.28
20/08/2025;23:33;2.08
21/08/2025;05:32;0.38
21/08/2025;11:40;2.04
21/08/2025;17:54;0.35
22/08/2025;00:10;1.96
22/08/2025;06:11;0.48
22/08/2025;12:19;1.91
22/08/2025;18:35;0.43
23/08/2025;00:49;1.85
23/08/2025;06:54;0.59
23/08/2025;13:02;1.79
23/08/2025;19:21;0.5
24/08/2025;01:32;1.75
24/08/2025;07:44;0.67
24/08/2025;13:54;1.69
24/08/2025;20:15;0.55
25/08/2025;02:23;1.68
25/08/2025;08:44;0.73
25/08/2025;14:58;1.62
25/08/2025;21:19;0.57
26/08/2025;03:26;1.66
26/08/2025;09:49;0.75
26/08/2025;16:09;1.62
26/08/2025;22:28;0.54
27/08/2025;04:33;1.72
27/08/2025;10:50;0.69
27/08/2025;17:13;1.7
27/08/2025;23:31;0.46
28/08/2025;05:33;1.83
28/08/2025;11:45;0.59
28/08/2025;18:10;1.83
29/08/2025;00:28;0.36
29/08/2025;06:27;1.98
29/08/2025;12:35;0.47
29/08/2025;19:01;1.98
30/08/2025;01:21;0.27
30/08/2025;07:16;2.12
30/08/2025;13:21;0.35
30/08/2025;19:48;2.11
31/08/2025;02:09;0.2
31/08/2025;08:01;2.23
31/08/2025;14:05;0.25
31/08/2025;20:32;2.2
