data;hora;altura
01/12/2025;01:56;0.38
01/12/2025;08:01;2.07
01/12/2025;14:12;0.4
01/12/2025;20:23;2.04
02/12/2025;02:45;0.31
02/12/2025;08:48;2.17
02/12/2025;14:58;0.31
02/12/2025;21:07;2.12
03/12/2025;03:31;0.27
03/12/2025;09:32;2.23
03/12/2025;15:41;0.25
03/12/2025;21:50;2.17
04/12/2025;04:14;0.26
04/12/2025;10:14;2.24
04/12/2025;16:23;0.22
04/12/2025;22:31;2.18
05/12/2025;04:56;0.28
05/12/2025;10:55;2.21
05/12/2025;17:04;0.22
05/12/2025;23:11;2.15
06/12/2025;05:37;0.33
06/12/2025;11:35;2.15
06/12/2025;17:44;0.25
06/12/2025;23:51;2.09
07/12/2025;06:17;0.4
07/12/2025;12:16;2.06
07/12/2025;18:25;0.3
08/12/2025;00:31;2.02
08/12/2025;06:58;0.48
08/12/2025;12:59;1.96
08/12/2025;19:08;0.37
09/12/2025;01:13;1.94
09/12/2025;07:42;0.57
09/12/2025;13:45;1.86
09/12/2025;19:55;0.45
10/12/2025;02:00;1.86
10/12/2025;08:32;0.65
10/12/2025;14:38;1.77
10/12/2025;20:47;0.52
11/12/2025;02:54;1.79
11/12/2025;09:30;0.72
11/12/2025;15:39;1.7
11/12/2025;21:46;0.57
12/12/2025;03:59;1.76
12/12/2025;10:35;0.74
12/12/2025;16:46;1.69
12/12/2025;22:48;0.57
13/12/2025;05:08;1.79
13/12/2025;11:38;0.7
13/12/2025;17:47;1.74
13/12/2025;23:45;0.52
14/12/2025;06:09;1.87
14/12/2025;12:34;0.61
14/12/2025;18:42;1.85
15/12/2025;00:37;0.43
15/12/2025;07:03;2.0
15/12/2025;13:25;0.5
15/12/2025;19:31;1.98
16/12/2025;01:25;0.34
16/12/2025;07:51;2.12
16/12/2025;14:11;0.39
16/12/2025;20:17;2.09
17/12/2025;02:10;0.26
17/12/2025;08:35;2.22
17/12/2025;14:54;0.29
17/12/2025;21:00;2.18
18/12/2025;02:53;0.2
18/12/2025;09:17;2.28
18/12/2025;15:35;0.22
18/12/2025;21:41;2.22
19/12/2025;03:34;0.18
19/12/2025;09:57;2.3
19/12/2025;16:14;0.18
19/12/2025;22:20;2.23
20/12/2025;04:13;0.18
20/12/2025;10:35;2.28
20/12/2025;16:51;0.17
20/12/2025;22:58;2.21
21/12/2025;04:51;0.21
21/12/2025;11:13;2.23
21/12/2025;17:28;0.19
21/12/2025;23:35;2.16
22/12/2025;05:28;0.26
22/12/2025;11:50;2.16
22/12/2025;18:05;0.23
23/12/2025;00:11;2.09
23/12/2025;06:05;0.33
23/12/2025;12:27;2.07
23/12/2025;18:41;0.29
24/12/2025;00:48;2.02
24/12/2025;06:43;0.42
24/12/2025;13:05;1.98
24/12/2025;19:20;0.36
25/12/2025;01:26;1.95
25/12/2025;07:23;0.51
25/12/2025;13:46;1.88
25/12/2025;20:02;0.44
26/12/2025;02:08;1.88
26/12/2025;08:08;0.59
26/12/2025;14:32;1.79
26/12/2025;20:49;0.52
27/12/2025;02:55;1.82
27/12/2025;09:00;0.67
27/12/2025;15:26;1.71
27/12/2025;21:43;0.59
28/12/2025;03:52;1.78
28/12/2025;10:02;0.72
28/12/2025;16:30;1.66
28/12/2025;22:44;0.63
29/12/2025;04:58;1.78
29/12/2025;11:08;0.74
29/12/2025;17:37;1.66
29/12/2025;23:45;0.63
30/12/2025;06:04;1.83
30/12/2025;12:12;0.71
30/12/2025;18:38;1.71
31/12/2025;00:43;0.58
31/12/2025;07:03;1.91
31/12/2025;13:08;0.64
31/12/2025;19:33;1.8
