data;hora;altura
01/02/2025;03:45;2.24
01/02/2025;09:53;0.38
01/02/2025;16:09;2.32
01/02/2025;22:18;0.3
02/02/2025;04:26;2.28
02/02/2025;10:34;0.33
02/02/2025;16:50;2.36
02/02/2025;22:59;0.26
03/02/2025;05:07;2.29
03/02/2025;11:15;0.31
03/02/2025;17:30;2.37
03/02/2025;23:39;0.26
04/02/2025;05:48;2.27
04/02/2025;11:55;0.32
04/02/2025;18:10;2.34
05/02/2025;00:19;0.28
05/02/2025;06:29;2.22
05/02/2025;12:35;0.36
05/02/2025;18:49;2.28
06/02/2025;00:58;0.34
06/02/2025;07:11;2.14
06/02/2025;13:17;0.42
06/02/2025;19:30;2.19
07/02/2025;01:37;0.42
07/02/2025;07:54;2.05
07/02/2025;14:01;0.5
07/02/2025;20:13;2.08
08/02/2025;02:18;0.51
08/02/2025;08:42;1.94
08/02/2025;14:51;0.58
08/02/2025;21:02;1.96
09/02/2025;03:05;0.61
09/02/2025;09:41;1.84
09/02/2025;15:52;0.65
09/02/2025;22:05;1.86
10/02/2025;04:04;0.7
10/02/2025;10:55;1.78
10/02/2025;17:09;0.69
10/02/2025;23:25;1.82
11/02/2025;05:22;0.75
11/02/2025;12:15;1.79
11/02/2025;18:32;0.67
12/02/2025;00:41;1.87
12/02/2025;06:40;0.72
12/02/2025;13:22;1.89
12/02/2025;19:42;0.59
13/02/2025;01:46;2.0
13/02/2025;07:47;0.63
13/02/2025;14:20;2.03
13/02/2025;20:41;0.48
14/02/2025;02:43;2.15
14/02/2025;08:44;0.5
14/02/2025;15:13;2.18
14/02/2025;21:35;0.36
15/02/2025;03:34;2.28
15/02/2025;09:36;0.37
15/02/2025;16:01;2.32
15/02/2025;22:24;0.25
16/02/2025;04:22;2.38
16/02/2025;10:25;0.27
16/02/2025;16:47;2.42
16/02/2025;23:10;0.18
17/02/2025;05:08;2.44
17/02/2025;11:11;0.2
17/02/2025;17:31;2.47
17/02/2025;23:55;0.15
18/02/2025;05:52;2.46
18/02/2025;11:56;0.18
18/02/2025;18:14;2.48
19/02/2025;00:39;0.16
19/02/2025;06:36;2.43
19/02/2025;12:40;0.2
19/02/2025;18:57;2.43
20/02/2025;01:23;0.21
20/02/2025;07:19;2.36
20/02/2025;13:24;0.25
20/02/2025;19:40;2.34
21/02/2025;02:07;0.3
21/02/2025;08:03;2.26
21/02/2025;14:09;0.33
21/02/2025;20:25;2.22
22/02/2025;02:51;0.4
22/02/2025;08:50;2.12
22/02/2025;14:57;0.43
22/02/2025;21:14;2.08
23/02/2025;03:39;0.51
23/02/2025;09:44;1.98
23/02/2025;15:52;0.52
23/02/2025;22:11;1.94
24/02/2025;04:36;0.61
24/02/2025;10:52;1.85
24/02/2025;16:59;0.59
24/02/2025;23:22;1.83
25/02/2025;05:47;0.7
25/02/2025;12:12;1.77
25/02/2025;18:18;0.63
26/02/2025;00:42;1.79
26/02/2025;07:05;0.73
26/02/2025;13:30;1.77
26/02/2025;19:39;0.61
27/02/2025;02:01;1.84
27/02/2025;08:18;0.69
27/02/2025;14:38;1.85
27/02/2025;20:53;0.53
28/02/2025;03:07;1.95
28/02/2025;09:20;0.59
28/02/2025;15:37;2.0
28/02/2025;21:56;0.42
