data;hora;altura
01/01/2025;02:26;2.25
01/01/2025;08:29;0.48
01/01/2025;14:48;2.3
01/01/2025;20:53;0.39
02/01/2025;03:13;2.25
02/01/2025;09:14;0.46
02/01/2025;15:35;2.31
02/01/2025;21:38;0.38
03/01/2025;03:57;2.23
03/01/2025;09:57;0.47
03/01/2025;16:19;2.29
03/01/2025;22:20;0.4
04/01/2025;04:38;2.19
04/01/2025;10:37;0.49
04/01/2025;17:00;2.24
04/01/2025;23:01;0.44
05/01/2025;05:18;2.12
05/01/2025;11:17;0.53
05/01/2025;17:41;2.17
05/01/2025;23:41;0.5
06/01/2025;05:58;2.05
06/01/2025;11:57;0.58
06/01/2025;18:22;2.08
07/01/2025;00:21;0.57
07/01/2025;06:40;1.96
07/01/2025;12:39;0.64
07/01/2025;19:07;1.98
08/01/2025;01:03;0.65
08/01/2025;07:27;1.87
08/01/2025;13:25;0.71
08/01/2025;20:00;1.88
09/01/2025;01:52;0.73
09/01/2025;08:26;1.8
09/01/2025;14:23;0.76
09/01/2025;21:12;1.8
10/01/2025;02:57;0.79
10/01/2025;09:44;1.76
10/01/2025;15:42;0.78
10/01/2025;22:45;1.78
11/01/2025;04:22;0.81
11/01/2025;11:11;1.78
11/01/2025;17:11;0.75
11/01/2025;23:59;1.82
12/01/2025;05:39;0.76
12/01/2025;12:18;1.87
12/01/2025;18:21;0.66
13/01/2025;00:54;1.91
13/01/2025;06:38;0.67
13/01/2025;13:08;1.99
13/01/2025;19:14;0.56
14/01/2025;01:40;2.02
14/01/2025;07:26;0.56
14/01/2025;13:51;2.11
14/01/2025;19:59;0.45
15/01/2025;02:21;2.12
15/01/2025;08:08;0.47
15/01/2025;14:31;2.21
15/01/2025;20:41;0.36
16/01/2025;03:00;2.21
16/01/2025;08:48;0.38
16/01/2025;15:08;2.28
16/01/2025;21:20;0.29
17/01/2025;03:37;2.27
17/01/2025;09:27;0.32
17/01/2025;15:45;2.33
17/01/2025;21:58;0.25
18/01/2025;04:14;2.31
18/01/2025;10:04;0.28
18/01/2025;16:21;2.34
18/01/2025;22:36;0.24
19/01/2025;04:50;2.33
19/01/2025;10:42;0.27
19/01/2025;16:57;2.33
19/01/2025;23:13;0.25
20/01/2025;05:26;2.32
20/01/2025;11:19;0.28
20/01/2025;17:34;2.29
20/01/2025;23:51;0.29
21/01/2025;06:04;2.29
21/01/2025;11:58;0.32
21/01/2025;18:12;2.22
22/01/2025;00:30;0.35
22/01/2025;06:44;2.23
22/01/2025;12:40;0.38
22/01/2025;18:54;2.14
23/01/2025;01:13;0.43
23/01/2025;07:28;2.14
23/01/2025;13:28;0.46
23/01/2025;19:44;2.04
24/01/2025;02:02;0.52
24/01/2025;08:20;2.03
24/01/2025;14:26;0.54
24/01/2025;20:47;1.94
25/01/2025;03:01;0.61
25/01/2025;09:24;1.93
25/01/2025;15:37;0.62
25/01/2025;22:05;1.86
26/01/2025;04:14;0.69
26/01/2025;10:41;1.86
26/01/2025;16:58;0.66
26/01/2025;23:25;1.85
27/01/2025;05:35;0.73
27/01/2025;12:00;1.86
27/01/2025;18:14;0.65
28/01/2025;00:32;1.9
28/01/2025;06:44;0.71
28/01/2025;13:04;1.93
28/01/2025;19:15;0.6
29/01/2025;01:29;1.99
29/01/2025;07:40;0.64
29/01/2025;13:58;2.04
29/01/2025;20:07;0.52
30/01/2025;02:19;2.09
30/01/2025;08:28;0.55
30/01/2025;14:45;2.15
30/01/2025;20:53;0.44
31/01/2025;03:03;2.17
31/01/2025;09:12;0.46
31/01/2025;15:28;2.24
31/01/2025;21:36;0.36
