data;hora;altura
01/07/2025;01:20;0.14
01/07/2025;07:08;2.3
01/07/2025;13:23;0.25
01/07/2025;19:58;2.4
02/07/2025;02:02;0.13
02/07/2025;07:50;2.32
02/07/2025;14:02;0.22
02/07/2025;20:38;2.42
03/07/2025;02:44;0.15
03/07/2025;08:31;2.31
03/07/2025;14:41;0.22
03/07/2025;21:18;2.39
04/07/2025;03:25;0.2
04/07/2025;09:12;2.26
04/07/2025;15:20;0.25
04/07/2025;21:58;2.32
05/07/2025;04:06;0.27
05/07/2025;09:53;2.18
05/07/2025;16:00;0.3
05/07/2025;22:38;2.22
06/07/2025;04:48;0.36
06/07/2025;10:37;2.08
06/07/2025;16:43;0.37
06/07/2025;23:21;2.1
07/07/2025;05:32;0.46
07/07/2025;11:24;1.96
07/07/2025;17:31;0.45
08/07/2025;00:07;1.97
08/07/2025;06:21;0.56
08/07/2025;12:18;1.85
08/07/2025;18:27;0.52
09/07/2025;00:59;1.85
09/07/2025;07:18;0.65
09/07/2025;13:20;1.76
09/07/2025;19:33;0.57
10/07/2025;02:00;1.77
10/07/2025;08:23;0.72
10/07/2025;14:32;1.72
10/07/2025;20:46;0.58
11/07/2025;03:11;1.76
11/07/2025;09:31;0.74
11/07/2025;15:44;1.76
11/07/2025;21:55;0.54
12/07/2025;04:22;1.83
12/07/2025;10:36;0.69
12/07/2025;16:48;1.87
12/07/2025;22:58;0.45
13/07/2025;05:24;1.96
13/07/2025;11:34;0.59
13/07/2025;17:45;2.02
13/07/2025;23:54;0.34
14/07/2025;06:18;2.11
14/07/2025;12:26;0.47
14/07/2025;18:36;2.16
15/07/2025;00:46;0.23
15/07/2025;07:07;2.24
15/07/2025;13:14;0.35
15/07/2025;19:24;2.28
16/07/2025;01:34;0.15
16/07/2025;07:53;2.34
16/07/2025;14:00;0.25
16/07/2025;20:09;2.36
17/07/2025;02:19;0.11
17/07/2025;08:35;2.4
17/07/2025;14:43;0.18
17/07/2025;20:52;2.39
18/07/2025;03:02;0.11
18/07/2025;09:16;2.41
18/07/2025;15:24;0.15
18/07/2025;21:33;2.38
19/07/2025;03:43;0.15
19/07/2025;09:56;2.38
19/07/2025;16:03;0.15
19/07/2025;22:13;2.33
20/07/2025;04:22;0.21
20/07/2025;10:35;2.31
20/07/2025;16:42;0.18
20/07/2025;22:52;2.25
21/07/2025;05:01;0.29
21/07/2025;11:13;2.21
21/07/2025;17:21;0.24
21/07/2025;23:31;2.15
22/07/2025;05:40;0.39
22/07/2025;11:51;2.1
22/07/2025;18:01;0.31
23/07/2025;00:11;2.04
23/07/2025;06:21;0.49
23/07/2025;12:32;1.98
23/07/2025;18:44;0.39
24/07/2025;00:52;1.93
24/07/2025;07:05;0.59
24/07/2025;13:17;1.86
24/07/2025;19:33;0.46
25/07/2025;01:38;1.83
25/07/2025;07:55;0.68
25/07/2025;14:10;1.76
25/07/2025;20:29;0.52
26/07/2025;02:30;1.74
26/07/2025;08:53;0.74
26/07/2025;15:13;1.69
26/07/2025;21:33;0.55
27/07/2025;03:33;1.7
27/07/2025;09:59;0.76
27/07/2025;16:23;1.69
27/07/2025;22:42;0.53
28/07/2025;04:42;1.74
28/07/2025;11:03;0.72
28/07/2025;17:28;1.75
28/07/2025;23:46;0.47
29/07/2025;05:46;1.85
29/07/2025;11:59;0.63
29/07/2025;18:25;1.88
30/07/2025;00:43;0.38
30/07/2025;06:42;1.99
30/07/2025;12:51;0.51
30/07/2025;19:16;2.02
31/07/2025;01:36;0.29
31/07/2025;07:33;2.13
31/07/2025;13:38;0.4
31/07/2025;20:03;2.15
