data;hora;altura
01/06/2025;00:01;0.32
01/06/2025;06:24;2.28
01/06/2025;12:05;0.41
01/06/2025;18:25;2.24
02/06/2025;00:39;0.38
02/06/2025;07:01;2.21
02/06/2025;12:44;0.46
02/06/2025;19:04;2.15
03/06/2025;01:19;0.46
03/06/2025;07:41;2.13
03/06/2025;13:25;0.52
03/06/2025;19:44;2.04
04/06/2025;02:00;0.54
04/06/2025;08:23;2.03
04/06/2025;14:09;0.59
04/06/2025;20:28;1.93
05/06/2025;02:45;0.63
05/06/2025;09:11;1.93
05/06/2025;15:00;0.66
05/06/2025;21:18;1.83
06/06/2025;03:36;0.71
06/06/2025;10:09;1.84
06/06/2025;16:01;0.71
06/06/2025;22:19;1.75
07/06/2025;04:38;0.78
07/06/2025;11:21;1.78
07/06/2025;17:18;0.73
07/06/2025;23:31;1.72
08/06/2025;05:54;0.82
08/06/2025;12:38;1.79
08/06/2025;18:41;0.7
09/06/2025;00:43;1.78
09/06/2025;07:07;0.79
09/06/2025;13:46;1.87
09/06/2025;19:54;0.6
10/06/2025;01:48;1.9
10/06/2025;08:10;0.7
10/06/2025;14:44;2.0
10/06/2025;20:56;0.47
11/06/2025;02:46;2.06
11/06/2025;09:06;0.58
11/06/2025;15:37;2.15
11/06/2025;21:52;0.34
12/06/2025;03:39;2.22
12/06/2025;09:56;0.45
12/06/2025;16:26;2.29
12/06/2025;22:43;0.22
13/06/2025;04:29;2.35
13/06/2025;10:44;0.32
13/06/2025;17:13;2.41
13/06/2025;23:31;0.13
14/06/2025;05:16;2.45
14/06/2025;11:30;0.22
14/06/2025;17:58;2.48
15/06/2025;00:17;0.08
15/06/2025;06:01;2.5
15/06/2025;12:14;0.15
15/06/2025;18:41;2.51
16/06/2025;01:02;0.06
16/06/2025;06:45;2.51
16/06/2025;12:57;0.12
16/06/2025;19:24;2.49
17/06/2025;01:45;0.09
17/06/2025;07:28;2.47
17/06/2025;13:40;0.14
17/06/2025;20:06;2.42
18/06/2025;02:29;0.16
18/06/2025;08:11;2.38
18/06/2025;14:22;0.19
18/06/2025;20:48;2.32
19/06/2025;03:12;0.26
19/06/2025;08:53;2.26
19/06/2025;15:05;0.27
19/06/2025;21:30;2.19
20/06/2025;03:56;0.37
20/06/2025;09:37;2.13
20/06/2025;15:50;0.37
20/06/2025;22:15;2.05
21/06/2025;04:43;0.48
21/06/2025;10:25;1.99
21/06/2025;16:40;0.47
21/06/2025;23:04;1.92
22/06/2025;05:35;0.59
22/06/2025;11:21;1.87
22/06/2025;17:39;0.55
22/06/2025;23:59;1.81
23/06/2025;06:35;0.68
23/06/2025;12:28;1.78
23/06/2025;18:48;0.6
24/06/2025;00:59;1.74
24/06/2025;07:39;0.74
24/06/2025;13:41;1.73
24/06/2025;20:00;0.61
25/06/2025;02:01;1.73
25/06/2025;08:42;0.76
25/06/2025;14:52;1.75
25/06/2025;21:07;0.56
26/06/2025;03:02;1.79
26/06/2025;09:39;0.72
26/06/2025;15:57;1.84
26/06/2025;22:06;0.47
27/06/2025;03:59;1.89
27/06/2025;10:31;0.64
27/06/2025;16:54;1.97
27/06/2025;23:00;0.36
28/06/2025;04:51;2.02
28/06/2025;11:18;0.52
28/06/2025;17:45;2.12
28/06/2025;23:49;0.26
29/06/2025;05:39;2.14
29/06/2025;12:02;0.41
29/06/2025;18:32;2.25
30/06/2025;00:36;0.18
30/06/2025;06:25;2.24
30/06/2025;12:43;0.31
30/06/2025;19:16;2.35
