data;hora;altura
01/10/2025;02:18;0.27
01/10/2025;08:29;2.18
01/10/2025;14:35;0.32
01/10/2025;20:58;2.13
02/10/2025;03:04;0.22
02/10/2025;09:12;2.25
02/10/2025;15:17;0.25
02/10/2025;21:42;2.18
03/10/2025;03:48;0.21
03/10/2025;09:54;2.27
03/10/2025;15:58;0.22
03/10/2025;22:24;2.2
04/10/2025;04:30;0.23
04/10/2025;10:34;2.24
04/10/2025;16:38;0.22
04/10/2025;23:04;2.17
05/10/2025;05:11;0.28
05/10/2025;11:13;2.18
05/10/2025;17:18;0.25
05/10/2025;23:44;2.11
06/10/2025;05:50;0.35
06/10/2025;11:52;2.08
06/10/2025;17:58;0.31
07/10/2025;00:23;2.03
07/10/2025;06:30;0.44
07/10/2025;12:32;1.98
07/10/2025;18:40;0.38
08/10/2025;01:03;1.94
08/10/2025;07:12;0.54
08/10/2025;13:16;1.87
08/10/2025;19:28;0.45
09/10/2025;01:48;1.85
09/10/2025;08:00;0.63
09/10/2025;14:06;1.78
09/10/2025;20:24;0.52
10/10/2025;02:41;1.78
10/10/2025;08:58;0.71
10/10/2025;15:07;1.72
10/10/2025;21:28;0.55
11/10/2025;03:45;1.77
11/10/2025;10:04;0.74
11/10/2025;16:15;1.74
11/10/2025;22:33;0.53
12/10/2025;04:50;1.84
12/10/2025;11:07;0.7
12/10/2025;17:16;1.82
12/10/2025;23:33;0.46
13/10/2025;05:48;1.96
13/10/2025;12:03;0.61
13/10/2025;18:11;1.95
14/10/2025;00:27;0.36
14/10/2025;06:40;2.1
14/10/2025;12:54;0.49
14/10/2025;19:01;2.08
15/10/2025;01:17;0.26
15/10/2025;07:27;2.22
15/10/2025;13:40;0.37
15/10/2025;19:47;2.18
16/10/2025;02:03;0.18
16/10/2025;08:11;2.3
16/10/2025;14:24;0.28
16/10/2025;20:30;2.23
17/10/2025;02:47;0.14
17/10/2025;08:52;2.34
17/10/2025;15:05;0.22
17/10/2025;21:11;2.25
18/10/2025;03:28;0.14
18/10/2025;09:32;2.33
18/10/2025;15:44;0.19
18/10/2025;21:50;2.23
19/10/2025;04:08;0.17
19/10/2025;10:10;2.29
19/10/2025;16:22;0.19
19/10/2025;22:28;2.18
20/10/2025;04:47;0.23
20/10/2025;10:48;2.21
20/10/2025;16:59;0.23
20/10/2025;23:05;2.11
21/10/2025;05:25;0.31
21/10/2025;11:25;2.12
21/10/2025;17:36;0.29
21/10/2025;23:42;2.02
22/10/2025;06:03;0.41
22/10/2025;12:02;2.0
22/10/2025;18:14;0.36
23/10/2025;00:19;1.93
23/10/2025;06:43;0.51
23/10/2025;12:41;1.88
23/10/2025;18:55;0.45
24/10/2025;01:00;1.84
24/10/2025;07:27;0.61
24/10/2025;13:26;1.76
24/10/2025;19:42;0.52
25/10/2025;01:46;1.75
25/10/2025;08:18;0.7
25/10/2025;14:20;1.67
25/10/2025;20:39;0.57
26/10/2025;02:43;1.69
26/10/2025;09:20;0.76
26/10/2025;15:26;1.61
26/10/2025;21:47;0.59
27/10/2025;03:52;1.68
27/10/2025;10:27;0.77
27/10/2025;16:38;1.61
27/10/2025;22:56;0.56
28/10/2025;05:00;1.75
28/10/2025;11:27;0.71
28/10/2025;17:42;1.69
28/10/2025;23:57;0.48
29/10/2025;05:59;1.88
29/10/2025;12:21;0.6
29/10/2025;18:38;1.83
30/10/2025;00:52;0.38
30/10/2025;06:51;2.02
30/10/2025;13:09;0.48
30/10/2025;19:28;1.97
31/10/2025;01:43;0.29
31/10/2025;07:39;2.15
31/10/2025;13:54;0.36
31/10/2025;20:15;2.1
