data;hora;altura
01/09/2025;02:55;0.17
01/09/2025;08:44;2.29
01/09/2025;14:47;0.18
01/09/2025;21:14;2.25
02/09/2025;03:39;0.18
02/09/2025;09:25;2.31
02/09/2025;15:29;0.15
02/09/2025;21:55;2.25
03/09/2025;04:22;0.22
03/09/2025;10:05;2.28
03/09/2025;16:09;0.16
03/09/2025;22:35;2.21
04/09/2025;05:03;0.29
04/09/2025;10:44;2.22
04/09/2025;16:49;0.19
04/09/2025;23:14;2.13
05/09/2025;05:43;0.38
05/09/2025;11:24;2.12
05/09/2025;17:29;0.26
05/09/2025;23:53;2.03
06/09/2025;06:23;0.48
06/09/2025;12:05;2.01
06/09/2025;18:12;0.34
07/09/2025;00:34;1.92
07/09/2025;07:05;0.58
07/09/2025;12:51;1.9
07/09/2025;19:00;0.42
08/09/2025;01:19;1.82
08/09/2025;07:54;0.68
08/09/2025;13:45;1.8
08/09/2025;19:58;0.48
09/09/2025;02:13;1.75
09/09/2025;08:52;0.75
09/09/2025;14:49;1.74
09/09/2025;21:04;0.52
10/09/2025;03:17;1.74
10/09/2025;09:56;0.78
10/09/2025;16:00;1.76
10/09/2025;22:11;0.51
11/09/2025;04:26;1.81
11/09/2025;10:59;0.74
11/09/2025;17:05;1.85
11/09/2025;23:13;0.44
12/09/2025;05:27;1.94
12/09/2025;11:55;0.64
12/09/2025;18:03;1.99
13/09/2025;00:10;0.34
13/09/2025;06:21;2.09
13/09/2025;12:47;0.51
13/09/2025;18:55;2.13
14/09/2025;01:03;0.24
14/09/2025;07:11;2.23
14/09/2025;13:34;0.38
14/09/2025;19:42;2.24
15/09/2025;01:51;0.15
15/09/2025;07:56;2.34
15/09/2025;14:19;0.27
15/09/2025;20:27;2.31
16/09/2025;02:37;0.1
16/09/2025;08:39;2.4
16/09/2025;15:01;0.19
16/09/2025;21:09;2.33
17/09/2025;03:20;0.08
17/09/2025;09:20;2.41
17/09/2025;15:42;0.15
17/09/2025;21:50;2.31
18/09/2025;04:01;0.11
18/09/2025;09:59;2.37
18/09/2025;16:21;0.14
18/09/2025;22:29;2.25
19/09/2025;04:41;0.17
19/09/2025;10:37;2.29
19/09/2025;16:59;0.17
19/09/2025;23:07;2.16
20/09/2025;05:19;0.26
20/09/2025;11:14;2.18
20/09/2025;17:36;0.23
20/09/2025;23:44;2.05
21/09/2025;05:57;0.36
21/09/2025;11:51;2.06
21/09/2025;18:13;0.3
22/09/2025;00:21;1.94
22/09/2025;06:36;0.46
22/09/2025;12:30;1.93
22/09/2025;18:52;0.39
23/09/2025;01:00;1.83
23/09/2025;07:18;0.56
23/09/2025;13:13;1.8
23/09/2025;19:35;0.47
24/09/2025;01:43;1.74
24/09/2025;08:06;0.65
24/09/2025;14:04;1.69
24/09/2025;20:25;0.54
25/09/2025;02:35;1.67
25/09/2025;09:02;0.72
25/09/2025;15:06;1.61
25/09/2025;21:26;0.59
26/09/2025;03:39;1.65
26/09/2025;10:07;0.75
26/09/2025;16:18;1.59
26/09/2025;22:34;0.6
27/09/2025;04:49;1.69
27/09/2025;11:11;0.72
27/09/2025;17:28;1.64
27/09/2025;23:38;0.55
28/09/2025;05:54;1.79
28/09/2025;12:10;0.64
28/09/2025;18:29;1.76
29/09/2025;00:36;0.46
29/09/2025;06:51;1.93
29/09/2025;13:02;0.53
29/09/2025;19:23;1.9
30/09/2025;01:29;0.36
30/09/2025;07:42;2.07
30/09/2025;13:50;0.42
30/09/2025;20:12;2.03
